	en	es	ja
tInfoSeed	Your island's weather seed is <b>{seed}</b>. Write it down somewhere for safekeeping. Once you've done that, go to the 'Overview' tab to finish the process and see your forecast.	La semilla ambiental en tu isla es <b>{seed}</b>. Apúntala en algún lado para no perderla. Cuando la hayas guardado, pásate a la pestaña 'Ahora' para completar los datos y ver tu pronóstico.	あなたの島の天気のシードは <b>{seed}</b> です。無くさないようどこかに書き留めておきましょう。書き留めたら「概要」タブへ移動し、予報を見てみましょう。
tErrNoPatterns	The information you have for {date} doesn't match any of the possible weather patterns for that date. Please double-check that data.	La información que tienes para el {date} no encaja con ningunos de los patrones posibles en ese día. ¡Comprueba tus datos!	あなたが入力した {date} の情報は、その日の天気パターンと一致しません。データを再確認してください。
tErrStarConflict	You have a gap saying that at {time} on {date}, there both is and isn't a star. Please fix it!	Tienes un hueco diciendo que a las {time} del {date} hubo y no hubo un meteorito. ¡Arregla eso!	{date} の {time} の時点で流れ星が見えた時刻と見えなかった時間帯の矛盾があります。修正してください。
			
tsTitle	Editing star at {time}	Meteorito a las {time}	{time} の流れ星を編集する
tsHeader	During a heavy shower you get 5 or 8 stars in a minute, and during a light shower, you get 5 stars in a minute. If you know the exact seconds for each star, enter them below.	Durante una lluvia fuerte, habrá 5 u 8 meteoritos en un minuto, y durante una lluvia leve pasarán 5 meteoritos en un minuto. Si sabes los segundos en que cada meteorito apareció, ponlo aquí.	流星群の時は1分間に5～8個、軽い流れ星の時は1分間に5個の星を得ることができます。各流れ星の正確な秒数がわかる場合は、以下に入力してください。
tsStar	Star {n}	Meteorito {n}	流れ星 {n}
tsFooter1	This is very powerful, but be careful - it's difficult to get these right! You may want to take a video of your Switch (e.g. with your phone) with the in-game clock and the sky visible while shooting stars are falling. Watch it afterwards and note the times when the in-game clock changes and when stars appear, then compare them to find the seconds for each star.	Esta opción tiene mucho potencial, pero ten cuidado - ¡es difícil hacerlo bien! Puedes grabar un vídeo de tu Switch (con tu móvil, por ejemplo) con el cielo y el reloj del juego cuando hay meteoritos. Si después reproduces el video y apuntas el tiempo en que el reloj cambia y el tiempo en que aparecen los meteoritos, podrás compararlos y determinar cuándo aparecen.	強力な情報ですが、注意してくださいね - これらを正しく確認するのは難しいです。流れ星が降っている間、ゲーム内の時計と空が見える状態でSwitchの動画（スマホなどから）を撮るといいかもしれません。その後にそれを見て、ゲーム内の時計が変わる時刻と星が出てくる時間をメモしておき、それらを比較して星ごとの秒数を求めましょう。
tsFooter2	The search algorithm allows your measurements to be up to <b>4 seconds late</b>.	El algoritmo de búsqueda permite que tus mediciones tengan <b>hasta 4 segundos de retraso</b>.	検索アルゴリズムにより、あなたの測定値は最大で<b>4秒遅れ</b>となります。
tsCancel	Cancel	Cancelar	キャンセル
tsSave	Save	Guardar	保存
			
deTitle	Exported data	Datos exportados	エクスポートされたデータ
			
yLight	1 light shower | {n} light showers	1 lluvia leve de meteoritos | {n} lluvias leves de meteoritos	1 軽い流れ星｜{n} 軽い流れ星
yHeavy	1 heavy shower | {n} heavy showers	1 lluvia fuerte de meteoritos | {n} lluvias fuertes de meteoritos	1 流星群｜{n} 流星群
yRainbow	1 rainbow | {n} rainbows	{n} arcoíris	1 虹｜{n} 虹
yRainbowDouble	({n} double)	({n} doble)	({n} 二重の虹)
yAuroraN	1 aurora borealis day | {n} aurora borealis days	1 día con aurora | {n} días con aurora	1 オーロラの日｜{n} オーロラの日
yAuroraS	1 aurora australis day | {n} aurora australis days	1 día con aurora | {n} días con aurora	1 オーロラの日｜{n} オーロラの日
			
oExample	This is an example forecast that shows what MeteoNook can do. Once you find out your island's seed, fill in the details below to get your personalised overview.	Esto es un pronostico ejemplar para demostrar lo que MeteoNook puede hacer. Cuando hayas encontrado tu semilla ambiental, introduce los detalles en el formulario para recibir tu pronostico personal.	これは、MeteoNookができることを示す予報の例です。あなたの島のシードがわかったら、以下に詳細を入力して、あなた向けの概要を入手してください。
oChange	Change	Cambiar	変更
oEditSettings	Edit settings	Editar ajustes	設定を編集する
oShareLink	Share a link	Compartir con enlace	リンクを共有する
oRemoveIsland	Remove island	Borrar esta isla	島を削除する
oSavedIslands	Saved islands	Islas guardadas	保存された島
oAddIsland	Add another island	Añadir otra isla	別の島を追加
oTitle	Weather on {island}	El tiempo para {island}	{island}の天気
			
oToday	Today	Hoy	今日
oTomorrow	Tomorrow	Mañana	明日
oSeeMore	See more	Ver más	詳しく見る
oPattern	Pattern: {pattern}	Patrón: {pattern}	パターン: {pattern}
oSunny	Clear {list}	Claro {list}	快晴 {list}
oCloudy	Cloudy {list}	Nublado {list}	曇り {list}
oRain	Rain {list}	Lluvia {list}	雨 {list}
oSnow	Snow {list}	Nevando {list}	雪 {list}
oMorning	morning	mañana	午前
oAfternoon	afternoon	tarde	午後
oEvening	evening	noche	夕方
oNight	night	noche	夜
oZoneList1	in the {0}	por la {0}	{0} の中
oZoneList2	in the {0} and {1}	por la {0} y {1}	{0} と {1} の中
oZoneList3	in the {0}, {1} and {2}	por la {0}, {1} y {2}	{0}, {1}, {2} の中
oZoneRest	for the rest of the day	el resto del día	その日の終わりまで
oZoneAllDay	all day	todo el día	終日
			
oHeavyShowerAlert	Heavy meteor shower: expect shooting stars between {start} and {end}	Lluvia fuerte: verás meteoritos entre las {start} y las {end}	流星群：{start} から {end} の間に流れ星が予想されます
oShowerAlert	Expect some shooting stars around {list}	Verás algunos meteoritos alrededor de {list}	{list} の周辺で流れ星が予想されます
oTimeList1	{0}	las {0}	{0}
oTimeList2	{0} and {1}	{0} y las {1}	{0} と {1}
			
oUpcoming	Coming up	Próximamente	間も無く
oRainbowAt	Rainbow at {time}	Arcoíris a las {time}	{time} に虹
oHeavyShower	Heavy meteor shower	Lluvia fuerte de meteoritos	流星群
oSnowStart	Snowy season begins	Comienza la temporada de nieve	雪の季節が始まる
oSnowEnd	Snowy season ends	Acaba la temporada de nieve	雪の季節が終わる
oFogStart	Fog season begins	Comienza la temporada de niebla	霧の季節が始まる
oFogEnd	Fog season ends	Acaba la temporada de niebla	霧の季節が終わる
			
oConstellation	Constellation	Constelación	星座
oZodiacNow	Now:	Ahora:	現在:
oZodiacNext	Next:	Próximo:	次:
oZodiacFrom	(from {date})	(desde el {date})	({date} から)
			
tForecastConfig	Forecast configuration	Configuración del pronóstico	予報の設定
tIslandName	Island name	Nombre de la isla	島の名前
tIslandNameDesc	This doesn't affect the forecast, but if you want to keep track of multiple islands in MeteoNook, this will allow you to tell them apart.	Esto no influye el pronóstico, pero si quieres echarle un ojo a varias islas en MeteoNook, esta opción te permitirá distinguirlas.	予報には影響しませんが、MeteoNook で複数の島を管理したい場合には、これで見分けることができます。
tSeed	Weather seed	Semilla ambiental	天気のシード
tHemisphere	Hemisphere	Hemisferio	半球
tNorthern	Northern	Norte	北
tSouthern	Southern	Sur	南
tClockMode	Are you time sly?	¿Como tienes tu reloj?	タイムトラベルしていますか？
tRealTime	No, my Switch's clock is real time	Mi consola Switch tiene el tiempo actual	いいえ、私のSwitchの時計はリアルタイムです
tTimeTravel	Yes, I time travel	Viajo en el tiempo	はい、私はタイムトラベルをしています。
tClockModeDesc	This option will set what MeteoNook considers as "today". This does not affect the predictions, it just makes the app a little more convenient to use.	Esta opción controla como MeteoNook decide la fecha para mostrar como "hoy". No afecta las previsiones, pero la app sera un poquito mas útil si lo configuras bien.	このオプションは、MeteoNookが「今日」と考えるものを設定します。これは予測には影響しませんが、アプリの使い勝手が少し良くなります。
tClockOffset	Clock offset	Desplazamiento del reloj	時計のオフセット
tClockOffsetDesc	You can enter an offset in minutes, or select the date and time that your Switch is currently set to.	Puedes introducir una cantidad de minutos como el desplazamiento, o elegir la fecha y hora que aparecen en tu consola Switch ahora mismo.	オフセットを分単位で入力したり、Switchが現在設定している日時を選択したりすることができます。
tMinutesSuffix	minutes	minutos	分
tPreview	Try (don't save)	Probar (sin guardar)	試してみる（保存しない）
tSave	Save Settings	Guardar estas opciones	設定の保存
tCancel	Cancel	Cancelar	キャンセル
			
oGuidanceSingle	This is the weather that you should get with the seed that MeteoNook has calculated. You can see more details on the 'Yearly' and 'Monthly' tabs. If it doesn't look right, then you may have made a mistake in your data - don't worry, it happens. If everything looks good, then fill in the remaining fields and click Save. Enjoy MeteoNook!	Aquí tienes el tiempo que deberías tener en tu isla con la semilla que MeteoNook ha encontrado. Puedes ver mas detalles en la pestañas 'Anual' y 'Mensual'. Si no se ve bien, tal vez tendrás un fallo en tus datos - no te preocupes, suele pasar de vez en cuando. Si todo se ve bien, completa los campos que quedan en el formulario y dale a Guardar. ¡Disfruta MeteoNook!	MeteoNookが計算したシードで取得すべき天気です。詳細は「年間表示」と「月間表示」タブで見ることができます。もし正しく表示されない場合は、データに間違いがあるかもしれません。問題がなければ、残りの項目を入力して「保存」をクリックしてください。MeteoNookをお楽しみください
oGuidanceMulti	This is the weather that you should get if this seed is the correct one for your island. You can see more details on the 'Yearly' and 'Monthly' tabs. If it doesn't look right, then go back to the 'Seed' tab and try a different one. If it all fits, then you're lucky - fill in the remaining fields and hit Save. Enjoy MeteoNook!	Aquí tienes el tiempo que deberías tener en tu isla si esta semilla es la que verdaderamente tiene tu isla. Puedes ver mas detalles en la pestañas 'Anual' y 'Mensual'. Si no se ve bien, vuelve a la pestaña 'Semilla' y prueba otra. Si todo encaja, has tenido suerte - completa los campos que quedan en el formulario y dale a Guardar. ¡Disfruta MeteoNook!	このシードがあなたの島のものであれば、このような天気になるはずです。詳細は「年間表示」と「月間表示」タブで見ることができます。もし、これが正しくない場合は、「シード」タブに戻って、別のものを試してみてください。残りの項目を入力して保存をクリックしてください。MeteoNookをお楽しみください
			
lsTitle	Shared link	Enlace compartido	共有リンク
lsBlurb	The link below contains the data for your island. You can give it to a friend for them to see your weather patterns, or you can just store it somewhere for safekeeping. The choice is yours!	El siguiente enlace contiene los datos para tu isla. Puedes compartirlo con un amigo para que pueda ver el tiempo en tu isla, o guardarlo en algún lado para seguridad. ¡La decisión es tuya!	下のリンクはあなたの島のデータを含んでいます。友達に共有して天気のパターンを見てもらうこともできますし、どこかに保管しておくこともできます。選択はあなた次第です。
lsDone	Done, thank you	Listo, gracias	完了しました、ありがとうございました。
			
			
			
			
			
dTitlePreview	Preview of pattern {pattern}	Ejemplo del patrón {pattern}	パターン {pattern} のプレビュー
dTitleDay	Weather for {date} ({pattern})	El tiempo para {date} ({pattern})	{date} の天気 ({pattern})
dSpDay	This day has special weather because of {day}	Este día hace un tiempo especial porque se celebra {day}	この日は、{date} のための特別な天気があります。
dWindTooltip	Wind strength	Velocidad del viento	風の強さ
dHeavyFog	Heavy fog	Niebla sobre la isla	濃い霧
dWaterFog	Water fog	Niebla sobre el agua	霧
dRainbowSingle	Rainbow!	¡Arcoíris!	虹！
dRainbowDouble	Double rainbow!	¡Arcoíris doble!	二重の虹！
dRainbowEither	Rainbow or double rainbow	Arcoíris o arcoíris doble	虹もしくは二重の虹
dAuroraN	Aurora borealis!	¡Aurora boreal!	オーロラ
dAuroraS	Aurora australis!	¡Aurora austral!	オーロラ
dStars	Stars possible!	¡Meteoritos posibles!	流れ星の可能性！
			
dunno	Don't know	No sé	不明
lstWeekdays	Sun%%Mon%%Tue%%Wed%%Thu%%Fri%%Sat	Dom%%Lun%%Mar%%Mié%%Jue%%Vie%%Sáb	日%%月%%火%%水%%木%%金%%土
lstMonths	January%%February%%March%%April%%May%%June%%July%%August%%September%%October%%November%%December	Enero%%Febrero%%Marzo%%Abril%%Mayo%%Junio%%Julio%%Agosto%%Septiembre%%Octubre%%Noviembre%%Diciembre	1月%%2月%%3月%%4月%%5月%%6月%%7月%%8月%%9月%%10月%%11月%%12月
lstSpecialDays	Bunny Day%%Fishing Tourney%%Bug-Off%%New Year's Eve Countdown	la Caza del Huevo%%el Torneo de Pesca%%la Caza de Bichos%%Nochevieja	イースター%%釣り大会%%虫取り大会%%年越しカウントダウン
lstSpecialDaysA	Bunny Day%%the Fishing Tourney%%the Bug-Off%%the New Year's Eve Countdown	la Caza del Huevo%%el Torneo de Pesca%%la Caza de Bichos%%Nochevieja	イースター%%釣り大会%%虫取り大会%%年越しカウントダウン
lstPatternChoices	☀ Clear/Fine%%🌤 Sunny%%🌥 Cloudy%%☁ Rain Clouds%%🌧 Rain/Snow%%⛈ Heavy Rain/Snow%%Unsure (clear or sunny)%%Unsure (sunny or cloudy)%%Unsure (cloudy or rain clouds)%%Unsure (no rain/snow)%%Unsure (rain/snow)	☀ Claro%%🌤 Soleado%%🌥 Nublado%%☁ Nubes de lluvia%%🌧 Lluvia/nieve%%⛈ Lluvia/nieve fuerte%%No estoy seguro (claro o soleado)%%No estoy seguro (soleado o nublado)%%No estoy seguro (nublado o nubes de lluvia)%%No estoy seguro (sin lluvia o nieve)%%No estoy seguro (lluvia o nieve)	☀ 快晴%%🌤 晴れ%%🌥 曇り%%☁ 雨雲%%🌧 雨/雪%%⛈ 大雨/大雪%%不明 (快晴もしくは晴れ)%%不明 (晴れもしくは曇り)%%不明 (曇りもしくは雨雲)%%不明 (雨や雪ではない)%%不明 (雨もしくは雪)
lstPatternNoSnow	☀ Clear/Fine%%🌤 Sunny%%🌥 Cloudy%%☁ Rain Clouds%%🌧 Rain%%⛈ Heavy Rain	☀ Claro%%🌤 Soleado%%🌥 Nublado%%☁ Nubes de lluvia%%🌧 Lluvia%%⛈ Lluvia fuerte	☀ 快晴%%🌤 晴れ%%🌥 曇り%%☁ 雨雲%%🌧 雨%%⛈ 大雨
lstPatternSnow	☀ Clear/Fine%%🌤 Sunny%%🌥 Cloudy%%☁ Rain Clouds%%🌨 Snow%%🌨 Heavy Snow	☀ Claro%%🌤 Soleado%%🌥 Nublado%%☁ Nubes de lluvia%%🌨 Nieve%%🌨 Nieve fuerte	☀ 快晴%%🌤 晴れ%%🌥 曇り%%☁ 雨雲%%🌨 雪%%🌨 大雪
lstConstellation	Capricorn%%Aquarius%%Pisces%%Aries%%Taurus%%Gemini%%Cancer%%Leo%%Virgo%%Libra%%Scorpio%%Sagittarius	capricornio%%acuario%%piscis%%aries%%tauro%%géminis%%cáncer%%leo%%virgo%%libra%%escorpio%%sagitario	やぎ座%%みずがめ座%%うお座%%おひつじ座%%おうし座%%ふたご座%%かに座%%しし座%%おとめ座%%てんびん座%%さそり座%%いて座
			
credTitle	Credits	Agradecimientos	クレジット
credSource	MeteoNook is available under the {license}. The source code is available on GitHub: {repo}	MeteoNook está distribuido bajo la {license}. El código fuente está disponible en GitHub: {repo}	MeteoNook は {license} ライセンスで提供されています. ソースコードは GitHub にあります: {repo}
credThank1	Special thanks to the following people for their help:	Muchas gracias a los siguientes usuarios por su ayuda:	協力してくれた方々へ感謝しています:
credThank1a	Testing and suggestions:	Pruebas y sugerencias:	テストと提案:
credThank1b	Translations:	Traducciones:	翻訳:
credThank2	MeteoNook includes parts of the following software:	MeteoNook incluye componentes de este software:	MeteoNook は次のソフトウェアを含みます:
credThank3	Shoutouts to:	Además, gracias a:	拍手:
			
footerCopy	MeteoNook is © {me}, {year}. Not affiliated with or endorsed by Nintendo.	MeteoNook es © de {me}, {year}. Esta web no esta asociada con ni avalada por Nintendo.	MeteoNook © {me}, {year}. 任天堂の公式サービスではありません。
footerDonate	Want to support me?	¿Quieres apoyarme?	サポートしてくれる方はこちら
footerVersion	Version:	Versión:	バージョン:
